ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
627628691,Audio,Hermit Thrush,Catharus guttatus,,Rodrigo Dueñas,2024-12-08,2024,12,8,714,United States,US-CA-081,California,San Mateo,Windy Hill OSP,37.3626535,-122.2298956,Unknown – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S204849205,"",,,ID by sight,,Catharus guttatus,herthr,Species,28081,,3.00,1,"",,
627628689,Audio,Bushtit,Psaltriparus minimus,,Rodrigo Dueñas,2024-12-08,2024,12,8,714,United States,US-CA-081,California,San Mateo,Windy Hill OSP,37.3626535,-122.2298956,Unknown – 1,Call,Unspecified,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S204849205,"",,,ID by sound,,Psaltriparus minimus,bushti,Species,25018,,2.00,1,"",,
627628678,Audio,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],,Rodrigo Dueñas,2024-12-08,2024,12,8,714,United States,US-CA-081,California,San Mateo,Windy Hill OSP,37.3626535,-122.2298956,Adult – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S204849205,"",,,ID by sight,,Junco hyemalis,orejun,Group,32848,,3.00,1,"",,
627628679,Audio,Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],,Rodrigo Dueñas,2024-12-08,2024,12,8,714,United States,US-CA-081,California,San Mateo,Windy Hill OSP,37.3626535,-122.2298956,Adult – 1,"Call; Foraging or Eating",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S204849205,"",,,ID by sight,,Junco hyemalis,orejun,Group,32848,,4.00,1,"",,
627593391,Audio,California Towhee,Melozone crissalis,,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 2,"Call; Foraging or Eating",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,ID by sight,,Melozone crissalis,caltow,Species,33068,,4.00,1,"",,
627593386,Audio,Great Egret (American),Ardea alba egretta,Sayornis nigricans -- Black Phoebe,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"","Call; Flying",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,Individual flying,,Ardea alba,greegr2,Group,7638,,2.00,1,"",,
627593382,Audio,Song Sparrow,Melospiza melodia,,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Unknown – 1,Song,Unspecified,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,ID by sound,,Melospiza melodia,sonspa,Species,32995,,4.00,1,"",,
627593378,Audio,Song Sparrow,Melospiza melodia,,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 1,Call,Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,ID by sight / foraging,,Melospiza melodia,sonspa,Species,32995,,4.50,2,"",,
627593370,Audio,White-tailed Kite,Elanus leucurus,,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 2,"Call; Flying",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,2 adults harassing a hawk,,Elanus leucurus,whtkit,Species,7748,,1.00,1,"",,
627593364,Audio,Canada Goose,Branta canadensis,,Rodrigo Dueñas,2024-12-15,2024,12,15,821,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult – 4,"Call; Flying",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,Standard .060 Polycarbonate Parabola,,S205522237,"",,,ID by sight,,Branta canadensis,cangoo,Species,330,,4.00,1,"",,
